"stop_id","rte","dir","GEOID","area","total_area","area_proportion"
13248,34,0,"41005022107",5228085.87860955,14796571.0074585,0.353330908625669
13248,34,0,"41005022201",2512728.99556912,14796571.0074585,0.169818331172981
13248,34,0,"41005022206",988594.839867426,14796571.0074585,0.0668124283233666
13248,34,0,"41005022205",6067161.2934124,14796571.0074585,0.410038331877983
12922,34,0,"41005022107",1289516.11201576,8208900.20672834,0.157087561005897
12922,34,0,"41005022201",6797511.07536082,8208900.20672834,0.82806598986175
12922,34,0,"41005022206",121873.019351761,8208900.20672834,0.0148464491323538
1936,34,0,"41005021500",207142.936272843,3538115.38396283,0.0585461223824856
1936,34,0,"41005021602",3330972.44768999,3538115.38396283,0.941453877617514
1940,34,0,"41005021500",154149.739422507,2918687.16245195,0.0528147522645106
1940,34,0,"41005021602",2764537.42302944,2918687.16245195,0.947185247735489
3428,34,0,"41005021100",788339.853166073,5339900.26234306,0.147631943376441
3428,34,0,"41005021500",4066865.39798083,5339900.26234306,0.76159950526798
3428,34,0,"41005021602",484695.011196157,5339900.26234306,0.0907685513555792
3432,34,0,"41005021100",2134940.81003623,3253110.37607979,0.656276782286427
3432,34,0,"41005021500",667707.481318158,3253110.37607979,0.205252021642988
3432,34,0,"41005021602",450462.084725397,3253110.37607979,0.138471196070584
3430,34,0,"41005021100",1201140.06714147,2219547.91529557,0.54116428794533
3430,34,0,"41005021602",1018407.8481541,2219547.91529557,0.45883571205467
3426,34,0,"41005021100",2465719.37252636,3925628.82618523,0.628108127818708
3426,34,0,"41005021602",1459909.45365887,3925628.82618523,0.371891872181292
3425,34,0,"41005021100",3070107.47227632,5178782.61007579,0.592824164177726
3425,34,0,"41005021602",2108675.13779947,5178782.61007579,0.407175835822275
3434,34,0,"41005021100",2519883.91469111,5421393.45161317,0.464803733058943
3434,34,0,"41005021602",2901509.53692206,5421393.45161317,0.535196266941057
13783,34,0,"41005021601",2404835.97815665,6481456.42071794,0.371033271236632
13783,34,0,"41005021100",1189964.87820897,6481456.42071794,0.183595291083846
13783,34,0,"41005021000",1850847.81651402,6481456.42071794,0.285560481529707
13783,34,0,"41005021602",1035807.74783829,6481456.42071794,0.159810956149815
13785,34,0,"41005021601",6205277.82768563,8349619.11691749,0.743180945237714
13785,34,0,"41005021000",2144341.28923186,8349619.11691749,0.256819054762286
13787,34,0,"41005021601",3075087.37946411,7143804.18580744,0.430455160791412
13787,34,0,"41005021000",2611585.53168771,7143804.18580744,0.365573504502844
13787,34,0,"41051008800",1457131.27465562,7143804.18580744,0.203971334705743
13789,34,0,"41005021000",5738212.15181888,7784404.12396715,0.737142119093186
13789,34,0,"41051008800",2046191.97214827,7784404.12396715,0.262857880906814
3080,34,0,"41005020900",28122.6850380999,4571405.41047208,0.0061518685202754
3080,34,0,"41005021000",122618.924130993,4571405.41047208,0.0268230255514201
3080,34,0,"41051000302",2830899.04391638,4571405.41047208,0.619262303323921
3080,34,0,"41051008800",1589764.75738661,4571405.41047208,0.347762802604384
3076,34,0,"41005020900",3237880.8952597,5455824.50042102,0.59347233310196
3076,34,0,"41005021000",889652.444741361,5455824.50042102,0.163064710874169
3076,34,0,"41051000302",1328291.16041997,5455824.50042102,0.243462956023872
3082,34,0,"41005020900",2658024.07049092,6427373.72434397,0.413547458804758
3082,34,0,"41051000302",3769349.65385305,6427373.72434397,0.586452541195242
13770,34,0,"41005020900",678041.807778451,6424289.51883339,0.105543469949589
13770,34,0,"41051000200",2337036.58453171,6424289.51883339,0.363781329854528
13770,34,0,"41005020800",154463.350319495,6424289.51883339,0.0240436471405394
13770,34,0,"41051000302",3254747.77620373,6424289.51883339,0.506631553055344
3854,34,0,"41051000200",4038447.81480412,5201921.07154147,0.776337772000722
3854,34,0,"41051000100",456655.963706831,5201921.07154147,0.0877860231684582
3854,34,0,"41005020800",706817.293030528,5201921.07154147,0.13587620483082
3078,34,0,"41005020900",149679.180262449,2846031.74369028,0.0525922385069285
3078,34,0,"41005021000",2695896.37482117,2846031.74369028,0.9472474721331
3078,34,0,"41051000302",456.18860665341,2846031.74369028,0.000160289359971051
3846,34,0,"41051000200",1351498.40663922,5495844.54993279,0.245912779075191
3846,34,0,"41051000100",1079268.3089063,5495844.54993279,0.19637897307694
3846,34,0,"41005020800",3065077.83438727,5495844.54993279,0.557708247847868
12842,34,0,"41005020900",2310828.38288758,4757564.13031542,0.485716707035617
12842,34,0,"41005020800",2446735.74742785,4757564.13031542,0.514283292964383
3661,34,0,"41005020900",603847.993658322,7166592.75468107,0.0842587285658029
3661,34,0,"41005020800",6562744.76102274,7166592.75468107,0.915741271434197
12463,34,0,"41005020800",5237946.22266236,5237946.22266236,1
3668,34,0,"41051006300",1515681.0447221,5182534.81906397,0.29245940406356
3668,34,0,"41005020800",3666853.77434187,5182534.81906397,0.70754059593644
8225,34,0,"41005020900",247475.185346544,8038808.10436857,0.0307850594433343
8225,34,0,"41005021100",9457.95461722512,8038808.10436857,0.00117653693115094
8225,34,0,"41051006300",1788.49688685646,8038808.10436857,0.00022248284367984
8225,34,0,"41005021200",172209.077512278,8038808.10436857,0.0214222152434132
8225,34,0,"41005020800",7607877.39000567,8038808.10436857,0.946393705538422
7141,34,0,"41051006300",1396393.44778661,8456040.6624198,0.165135611751778
7141,34,0,"41005021200",3304156.38025283,8456040.6624198,0.390745091250224
7141,34,0,"41005021400",659215.806152319,8456040.6624198,0.0779579749517993
7141,34,0,"41005020800",3096275.02822804,8456040.6624198,0.366161322046198
7144,34,0,"41005021200",1562700.28809443,1591686.03110786,0.981789283535235
