"","stop_id","rte","dir","MedInc_17","MedHomeVal_17","MedRentVal_17","OwnShare_17","WhiteShare_17","BlackShare_17","HispShare_17","AsOthShare_17","RentCBShare_17","PovRate_17","BachShare_17"
"3598",6030,1,0,71989.301208655,587476.032911161,1154.3870476468,47.0606124743419,79.8886808211369,1.41513628291845,6.68012270768154,12.0160620873095,39.6610105205749,8.51911622986107,58.8625192131507
"3599",863,1,0,75121.110924301,513161.621914296,954.229446126232,64.2224061455467,82.6353059720132,2.61981840063814,5.64847111192959,9.09640272847559,44.1630158089845,8.66788379137638,69.2292738220899
"3600",862,1,0,92728.3257478843,449494.936318409,1095.78320658962,72.2816486681165,85.2197623191883,0.869904818573753,5.4287897332168,8.48153969478292,55.4148349767218,5.98847294416863,69.4711946389037
"3601",7549,1,0,74596.8516211457,390530.473539396,1093.19793177655,62.1397268630838,80.2958417438276,3.43423393434829,8.12962225927924,8.14030038440627,55.5280545088295,10.0808405376877,61.3336414978991
"3602",10466,1,0,91517.1331009419,416885.732190358,1398.93855121287,69.0891628153356,91.8570257685114,1.21618072117786,3.18012990829286,3.74666451243321,43.5313451083918,7.01075541525993,67.4605281876499
"3603",7540,1,0,83357.0844820408,406546.566713952,1290.50289897705,62.4687107743483,90.9019599686423,1.6662900267865,3.43736864977175,3.99438127480482,46.4953143491921,9.36365053004749,66.0922640140697
"3604",7668,1,0,102424.943207973,402715.416234262,1423.97101550869,87.5438278374296,89.7431753095362,0.481627034681882,1.86853036485259,7.90666301156272,26.0343126791253,3.54970894892564,67.3431469899662
"3605",7667,1,0,102200,430900,1544,77.59563,93.27337,0.6257333,2.776691,3.324208,39.55556,3.996704,69.26514
"3606",7698,1,0,102269.209597818,422228.283593527,1507.06997744878,80.6564504513044,92.1872142678529,0.581395279058434,2.49727188404009,4.73411884473625,35.395398430719,3.85917440757346,68.6737891233375
"3607",7700,1,0,102200,430900,1544,77.59563,93.27337,0.6257333,2.776691,3.324208,39.55556,3.996704,69.26514
"3608",7728,1,0,102200,430900,1544,77.59563,93.27337,0.6257333,2.776691,3.324208,39.55556,3.996704,69.26514
"3609",7729,1,0,98331.4043564628,420756.585799046,1462.34002285874,75.8300332686757,91.5988076647175,0.755661226280031,3.34630010037228,4.29923178894898,41.6374078795687,4.47163494826528,68.7092827327289
"3610",6048,1,0,96728.8887110317,416554.807827685,1428.51343485826,75.0986576879283,90.9051419035975,0.809482187121467,3.58225329352945,4.70312276656215,42.499786402894,4.66836894303313,68.479026058342
"3611",6045,1,0,68001.9310346242,392307.358749523,1086.54345314066,51.7822873853379,85.4997695391747,3.37536844395046,5.75994483354591,5.36491654196176,54.3805856015017,13.7382725955921,61.4951761339625
"3612",6027,1,0,100986.644220688,427718.594814052,1518.38796547053,77.0418639320819,92.7481561822345,0.66648421189984,2.95534458842555,3.63001684080357,40.2085158498942,4.14566250172774,69.0907995700709
"3613",10801,1,0,74694.6014491952,395515.739734882,1170.46643312843,55.678627695162,89.5043176657391,2.16033688290727,3.63820835188334,4.69713620039544,49.3688454798574,11.6997843073722,64.7035207461302
"3614",7591,1,0,86741.9372997184,632325.167194596,1275.05092321294,50.9709830882659,76.2278080313916,3.03235970758623,3.74275550671166,16.9970689287429,51.2641142092365,14.0362173671505,79.6488456913457
"3615",196,1,0,82263.170380522,550049.815657604,1389.5726221669,44.8951753176779,75.0307721520324,2.87536132466835,5.60892001305437,16.484940013598,52.539374882882,13.8387967537709,76.4235732376107
"3616",188,1,0,92837.2786279307,469949.15135791,1429.0415790187,47.5348508032565,79.6248455722815,2.91748593883684,6.88249074385481,10.575176354656,46.389180225185,10.0033110265847,73.4665773361753
"3617",6032,1,0,105951.71700562,495113.180691805,1164.13029507821,74.3083139499621,88.7756626825411,1.88952576486441,4.24002284228777,5.09478800518033,40.6102879788007,4.6301504385314,71.7062641065707
"3618",6018,1,0,83710.8753870378,448774.984285244,1131.38237886109,62.8602495843451,87.5277482293893,2.26088239615561,5.5811212651575,4.63024776844517,50.2421918374888,10.1234722150054,65.7960080118429
"3619",6041,1,0,67914.8498900325,397224.094327634,1087.02586699726,53.1365880220036,82.4542351188233,4.13137474409792,7.3217254049371,6.09266527909305,56.3872419037063,13.7682768754386,59.7300253174547
"3620",6029,1,0,67803.44412644,399273.654116126,1087.24358332825,53.7364662604056,81.004751700945,4.49571642008014,8.06547179098159,6.43406119695162,57.3266494152928,13.7961978666631,58.8703390515434
"3621",6047,1,0,89776.4890126996,398325.694131457,1281.75919824242,71.9256369555234,87.8957225309357,1.04298058258785,4.6059193735477,6.45537493266275,46.2411540472654,5.52188533132875,67.4800739182425
"3622",6019,1,0,91029.9841594204,401612.344286615,1308.21851176589,72.4977223161318,88.4383110962887,1.00088157818878,4.42135569498453,6.13944954267617,45.5665975793105,5.36799909106671,67.660181753487
"3623",5221,1,0,81040.1030981188,376059.15011089,1098.02136879405,67.8929507826704,84.1132506304538,1.33578317922847,5.89077919709932,8.66018101221291,50.898704019505,6.59662292203891,66.208332862724
"3624",865,1,0,80199.3537173366,460864.4868706,1023.05150434873,66.8434411205645,83.5639832717511,1.91132767643901,5.67488718051821,8.84979853758569,48.2660382791999,7.55052949471254,68.4025276956973
"3625",861,1,0,100704.501308626,501724.824201853,1095.22361279149,75.0646609535751,85.7931993514171,0.646092127404603,5.23135976329935,8.32934735458047,58.9273943055129,5.73901470024679,71.4727386445677
"3626",7559,1,0,76061.2146915467,387130.787728422,1094.2840933775,63.4545004993172,81.1625009468418,2.95949691997666,7.62253240099707,8.25546707650046,54.4871174184581,9.29140101614762,62.4409560960278
"3627",9328,1,0,86528.6442357117,410645.633485234,1333.17045764176,65.0148097666929,91.3011056638898,1.4911479245496,3.32616618526094,3.88158054689565,45.3272442820476,8.46030881530173,66.626309065154
"3628",176,1,0,89352.3337115392,470121.799354928,1506.37689957774,42.527942366102,77.7672009118956,2.56929955527083,7.98883252273278,11.6746664668945,46.423506560673,11.2442528178468,73.6938959772382
"3629",6035,1,0,74099.8885779738,417840.308032481,1100.21084993343,56.7266088418375,84.4893971821677,3.34747274031506,6.52107654186149,5.64205368689369,54.5676503844444,12.3942842641412,62.2563571227122
"3630",6052,1,0,100091.756215789,425372.208545349,1499.49828540119,76.6334440603925,92.3607944920035,0.69653928961873,3.08710722230441,3.85556046790241,40.6900913018451,4.25552407629374,68.9622180260814
